W E1 E2
0 0 0
6.04595 10.2921 0.214476
12.0919 10.2921 0.107191
18.1378 10.2921 0.0714084
24.1838 10.2921 0.0535015
30.2297 10.2921 0.042745
36.2757 10.2921 0.0355638
42.3216 10.2921 0.0304257
48.3676 10.2921 0.0265647
54.4135 10.2921 0.0235551
60.4595 10.2921 0.0211417
66.5054 10.2922 0.0191619
72.5514 10.2922 0.0175075
78.5973 10.2922 0.0161035
84.6433 10.2922 0.0148963
90.6892 10.2922 0.0138466
96.7352 10.2922 0.0129251
102.781 10.2922 0.0121092
108.827 10.2923 0.0113814
114.873 10.2923 0.0107279
120.919 10.2923 0.0101376
126.965 10.2923 0.00960166
133.011 10.2923 0.00911271
139.057 10.2924 0.00866471
145.103 10.2924 0.00825263
151.149 10.2924 0.00787225
157.195 10.2924 0.00752
163.241 10.2925 0.00719283
169.287 10.2925 0.00688814
175.333 10.2925 0.00660368
181.378 10.2925 0.00633751
187.424 10.2926 0.00608792
193.47 10.2926 0.00585344
199.516 10.2926 0.00563277
205.562 10.2927 0.00542476
211.608 10.2927 0.00522839
217.654 10.2927 0.00504276
223.7 10.2928 0.00486707
229.746 10.2928 0.00470061
235.792 10.2928 0.00454271
241.838 10.2929 0.00439282
247.884 10.2929 0.0042504
253.93 10.2929 0.004115
259.976 10.293 0.00398619
266.022 10.293 0.00386359
272.068 10.2931 0.00374685
278.114 10.2931 0.00363567
284.16 10.2931 0.00352976
290.206 10.2932 0.00342888
296.252 10.2932 0.00333279
302.297 10.2933 0.0032413
308.343 10.2933 0.00315423
314.389 10.2934 0.00307144
320.435 10.2934 0.00299278
326.481 10.2935 0.00291814
332.527 10.2935 0.00284745
338.573 10.2936 0.00278065
344.619 10.2936 0.00271768
350.665 10.2937 0.00265855
356.711 10.2937 0.00260328
362.757 10.2938 0.00255192
368.803 10.2939 0.00250456
374.849 10.2939 0.00246135
380.895 10.294 0.00242247
386.941 10.2941 0.00238818
392.987 10.2941 0.00235881
399.033 10.2942 0.00233478
405.079 10.2943 0.00231662
411.125 10.2944 0.00230499
417.17 10.2944 0.00230073
423.216 10.2945 0.00230485
429.262 10.2946 0.00231861
435.308 10.2947 0.00234354
441.354 10.2948 0.00238144
447.4 10.2949 0.00243443
453.446 10.295 0.00250478
459.492 10.2951 0.00259478
465.538 10.2952 0.0027062
471.584 10.2953 0.0028395
477.63 10.2953 0.00299248
483.676 10.2954 0.00315879
489.722 10.2953 0.00332713
495.768 10.2953 0.0034838
501.814 10.2953 0.00362581
507.86 10.2953 0.00382602
513.906 10.2949 0.00430263
519.952 10.2945 0.0038149
525.998 10.2946 0.00364344
532.044 10.2947 0.00361759
538.089 10.2949 0.00367872
544.135 10.295 0.00382596
550.181 10.295 0.00403945
556.227 10.2949 0.00424796
562.273 10.2947 0.00434018
568.319 10.2946 0.00426051
574.365 10.2947 0.00408986
580.411 10.2951 0.0039892
586.457 10.2957 0.00412829
592.503 10.2966 0.00473572
598.549 10.2977 0.00628588
604.595 10.2979 0.00967622
610.641 10.2938 0.0138128
616.687 10.2874 0.0116343
622.733 10.2862 0.0071046
628.779 10.2871 0.00456855
634.825 10.2881 0.00330007
640.871 10.2889 0.00261319
646.917 10.2896 0.00220667
652.963 10.2901 0.00194902
659.008 10.2905 0.00177835
665.054 10.2909 0.00166336
671.1 10.2912 0.00158752
677.146 10.2915 0.00154222
683.192 10.2918 0.00152377
689.238 10.292 0.00153217
695.284 10.2923 0.00157107
701.33 10.2925 0.00164863
707.376 10.2928 0.00177921
713.422 10.293 0.00198504
719.468 10.2931 0.00229219
725.514 10.2931 0.00270043
731.56 10.2929 0.00309841
737.606 10.2924 0.0032422
743.652 10.292 0.00305904
749.698 10.2919 0.00277576
755.744 10.2919 0.0025742
761.79 10.2919 0.00248005
767.836 10.292 0.00244909
773.881 10.2919 0.00242303
779.927 10.2919 0.00235967
785.973 10.2918 0.00225373
792.019 10.2919 0.00213388
798.065 10.2919 0.00204217
804.111 10.2921 0.00202291
810.157 10.2921 0.00211678
816.203 10.292 0.00225175
822.249 10.2918 0.0021457
828.295 10.2918 0.00191597
834.341 10.2919 0.0017822
840.387 10.2921 0.00174073
846.433 10.2922 0.0017576
852.479 10.2923 0.00181245
858.525 10.2923 0.00189238
864.571 10.2923 0.00198581
870.617 10.2923 0.00207928
876.663 10.2922 0.00215688
882.709 10.2921 0.0022025
888.755 10.292 0.0022043
894.8 10.2918 0.00215918
900.846 10.2917 0.00207393
906.892 10.2916 0.00196234
912.938 10.2916 0.00184017
918.984 10.2916 0.00172113
925.03 10.2916 0.00161527
931.076 10.2917 0.00152912
937.122 10.2917 0.00146664
943.168 10.2918 0.00142971
949.214 10.2918 0.00141729
955.26 10.2918 0.0014226
961.306 10.2918 0.0014294
967.352 10.2918 0.00141383
973.398 10.2917 0.0013585
979.444 10.2917 0.00126756
985.49 10.2917 0.00116159
991.536 10.2917 0.00105997
997.582 10.2918 0.000972539
1003.63 10.2918 0.000901464
1009.67 10.2919 0.000845437
1015.72 10.292 0.000802251
1021.77 10.2921 0.000769918
1027.81 10.2921 0.000747012
1033.86 10.2922 0.000732746
1039.9 10.2923 0.000726993
1045.95 10.2924 0.000730347
1052 10.2925 0.000744293
1058.04 10.2926 0.000771554
1064.09 10.2927 0.000816716
1070.13 10.2928 0.000887315
1076.18 10.2929 0.000995626
1082.22 10.293 0.00116112
1088.27 10.2931 0.00141163
1094.32 10.2931 0.00177233
1100.36 10.2929 0.00220939
1106.41 10.2924 0.00252087
1112.45 10.2917 0.00243876
1118.5 10.2913 0.00203622
1124.55 10.2912 0.00160043
1130.59 10.2912 0.00126585
1136.64 10.2913 0.00103462
1142.68 10.2914 0.000877403
1148.73 10.2915 0.000768894
1154.78 10.2916 0.00069218
1160.82 10.2917 0.000636619
1166.87 10.2918 0.000595528
1172.91 10.2918 0.000564642
1178.96 10.2919 0.000541175
1185.01 10.292 0.000523265
1191.05 10.292 0.000509637
1197.1 10.292 0.000499401
1203.14 10.2921 0.000491919
