W E1 E2
0 5.93538 0
6.02894 5.93578 0.00249954
12.0579 5.93699 0.00500396
18.0868 5.93901 0.00751818
24.1158 5.94185 0.0100472
30.1447 5.94551 0.0125959
36.1736 5.95002 0.0151696
42.2026 5.95537 0.0177736
48.2315 5.9616 0.0204131
54.2605 5.96872 0.023094
60.2894 5.97676 0.025822
66.3183 5.98574 0.0286032
72.3473 5.99571 0.0314441
78.3762 6.0067 0.0343514
84.4051 6.01875 0.0373322
90.4341 6.03192 0.0403941
96.463 6.04627 0.0435452
102.492 6.06187 0.046794
108.521 6.07881 0.0501498
114.55 6.09717 0.0536225
120.579 6.11707 0.0572227
126.608 6.13866 0.060962
132.637 6.1621 0.0648529
138.666 6.1876 0.0689089
144.695 6.21543 0.0731449
150.723 6.24593 0.0775771
156.752 6.27955 0.082223
162.781 6.31695 0.0871023
168.81 6.35904 0.0922363
174.839 6.40726 0.0976487
180.868 6.46407 0.103366
186.897 6.53416 0.109416
192.926 6.6288 0.115832
198.955 6.79576 0.12265
204.984 7.00807 0.412746
211.013 6.87185 0.751637
217.042 6.68638 0.782506
223.071 6.51761 0.77401
229.1 6.46649 0.641117
235.129 6.54974 0.564866
241.158 6.61349 0.557794
247.186 6.68722 0.580341
253.215 6.72953 0.618856
259.244 6.76479 0.623614
265.273 6.85015 0.628865
271.302 6.92994 0.694167
277.331 6.98831 0.760272
283.36 7.04103 0.826055
289.389 7.09147 0.896079
295.418 7.13478 0.97077
301.447 7.17031 1.04495
307.476 7.19628 1.12102
313.505 7.21668 1.16714
319.534 7.25267 1.21211
325.563 7.30802 1.24505
331.592 7.38873 1.2896
337.621 7.47342 1.35279
343.65 7.55913 1.41528
349.678 7.66984 1.48021
355.707 7.80248 1.56481
361.736 7.95401 1.66911
367.765 8.11739 1.82138
373.794 8.25635 1.99536
379.823 8.42265 2.15935
385.852 8.60464 2.3521
391.881 8.84843 2.57395
397.91 9.14034 2.88811
403.939 9.4371 3.3222
409.968 9.71747 3.83072
415.997 10.0147 4.52464
422.026 10.2763 5.36086
428.055 10.417 6.51024
434.084 10.324 7.90733
440.113 9.92462 9.72816
446.141 8.39527 11.6075
452.17 6.36292 13.3204
458.199 2.87346 14.2468
464.228 -0.862049 12.6436
470.257 -3.2229 10.4011
476.286 -4.24364 6.96184
482.315 -3.28951 4.19884
488.344 -2.2561 2.883
494.373 -1.12226 2.05303
500.402 -0.317069 1.70953
506.431 0.289743 1.5016
512.46 0.756668 1.39557
518.489 1.10503 1.28932
524.518 1.42198 1.22915
530.547 1.67585 1.21507
536.576 1.83447 1.21288
542.605 1.97918 1.17421
548.633 2.08765 1.12915
554.662 2.21771 1.07034
560.691 2.35467 1.06913
566.72 2.39839 1.09959
572.749 2.40399 0.976994
578.778 2.57975 0.861932
584.807 2.71074 0.93692
590.836 2.75577 1.03716
596.865 2.60915 1.18703
602.894 2.05045 0.778786
608.923 2.51266 -0.159214
614.952 3.80289 0.669417
620.981 2.73005 2.18339
627.01 1.17098 0.0985881
633.039 3.16654 -1.75916
639.068 4.46209 -0.440402
645.096 4.13421 0.46132
651.125 3.98091 0.566619
657.154 3.90141 0.64002
663.183 3.85984 0.68776
669.212 3.81347 0.694286
675.241 3.80101 0.688794
681.27 3.7917 0.685394
687.299 3.74284 0.664694
693.328 3.75004 0.556605
699.357 3.83165 0.463619
705.386 3.95383 0.394057
711.415 4.16034 0.459602
717.444 4.1823 0.619994
723.473 4.09384 0.583082
729.502 4.16339 0.500347
735.531 4.26343 0.512978
741.559 4.34077 0.53124
747.588 4.41806 0.553577
753.617 4.48815 0.574405
759.646 4.58633 0.592903
765.675 4.70794 0.63099
771.704 4.87472 0.697917
777.733 5.05716 0.951274
783.762 5.03542 1.27462
789.791 4.92909 1.49166
795.82 4.72076 1.69654
801.849 4.46698 1.75955
807.878 4.28422 1.75644
813.907 4.05594 1.68967
819.936 3.92424 1.5708
825.965 3.80137 1.46982
831.994 3.68987 1.25742
838.023 3.68305 1.07097
844.051 3.71542 0.902034
850.08 3.75441 0.752906
856.109 3.83211 0.59564
862.138 3.94144 0.461937
868.167 4.0669 0.347212
874.196 4.21389 0.256763
880.225 4.37368 0.180332
886.254 4.54607 0.15454
892.283 4.70831 0.142161
898.312 4.85231 0.160634
904.341 4.96799 0.174028
910.37 5.09069 0.172181
916.399 5.21448 0.165857
922.428 5.3556 0.156386
928.457 5.50954 0.15643
934.486 5.66711 0.163174
940.514 5.8339 0.165247
946.543 6.01548 0.172018
952.572 6.21517 0.180043
958.601 6.42725 0.187072
964.63 6.68271 0.187897
970.659 6.98474 0.210169
976.688 7.32202 0.254445
982.717 7.70868 0.3251
988.746 8.1596 0.422179
994.775 8.68254 0.591605
1000.8 9.33382 0.835856
1006.83 10.0098 1.26853
1012.86 10.8265 1.90253
1018.89 11.5061 2.82419
1024.92 12.1539 4.03286
1030.95 12.4902 5.5412
1036.98 12.519 7.10864
1043.01 12.0661 9.05272
1049.04 11.4884 10.4761
1055.06 10.0379 12.3224
1061.09 8.9133 13.4547
1067.12 7.30117 15.4218
1073.15 3.68734 15.91
1079.18 1.97376 15.9134
1085.21 -0.885694 15.4236
1091.24 -3.08757 13.7287
1097.27 -5.28677 12.6368
1103.3 -6.56276 9.5218
1109.32 -6.70798 7.0315
1115.35 -6.15956 4.79811
1121.38 -4.87831 3.31172
1127.41 -3.85224 2.49689
1133.44 -2.81647 2.13603
1139.47 -2.13563 2.01943
1145.5 -1.63717 1.9763
1151.53 -1.30892 1.98349
1157.56 -1.0568 1.94036
1163.59 -0.883977 1.91038
1169.61 -0.732893 1.85377
1175.64 -0.623063 1.79482
1181.67 -0.52714 1.7209
1187.7 -0.444079 1.64616
1193.73 -0.374191 1.55301
1199.76 -0.304238 1.46775
1205.79 -0.236965 1.36718
1211.82 -0.170318 1.27226
1217.85 -0.104151 1.17328
1223.87 -0.0328871 1.0758
1229.9 0.034769 0.976023
1235.93 0.115145 0.878335
1241.96 0.198058 0.785737
1247.99 0.285515 0.701832
1254.02 0.374495 0.621885
1260.05 0.465666 0.549427
1266.08 0.56094 0.481363
1272.11 0.665852 0.426228
1278.14 0.762763 0.386866
1284.16 0.858009 0.359866
1290.19 0.93894 0.341891
1296.22 1.01042 0.323623
1302.25 1.07606 0.307156
1308.28 1.13815 0.287167
1314.31 1.19828 0.268543
1320.34 1.25837 0.249403
1326.37 1.31955 0.233053
1332.4 1.37954 0.219698
1338.42 1.44094 0.212929
1344.45 1.49658 0.210248
1350.48 1.54904 0.214081
1356.51 1.59307 0.219664
1362.54 1.63194 0.224613
1368.57 1.6651 0.229245
1374.6 1.69544 0.231734
1380.63 1.72068 0.231808
1386.66 1.74654 0.229051
1392.68 1.77055 0.224357
1398.71 1.79511 0.218937
1404.74 1.81892 0.211795
1410.77 1.84229 0.20436
1416.8 1.86732 0.193785
1422.83 1.8953 0.183903
1428.86 1.92509 0.175234
1434.89 1.9597 0.171825
1440.92 1.98983 0.17347
1446.95 2.01881 0.182679
1452.97 2.03462 0.194978
1459 2.04358 0.194866
1465.03 2.05295 0.192741
1471.06 2.06571 0.183226
1477.09 2.0827 0.174406
1483.12 2.10057 0.166793
1489.15 2.11925 0.158873
1495.18 2.14064 0.150714
1501.21 2.16508 0.148336
1507.23 2.18589 0.14789
1513.26 2.20476 0.149873
1519.29 2.21913 0.151207
1525.32 2.23427 0.148633
1531.35 2.25134 0.146927
1537.38 2.26775 0.14659
1543.41 2.28426 0.147589
1549.44 2.29879 0.149546
1555.47 2.31186 0.151887
1561.5 2.32179 0.154356
1567.52 2.33205 0.150745
1573.55 2.34753 0.148464
1579.58 2.36105 0.151035
1585.61 2.37214 0.153246
1591.64 2.3825 0.154933
1597.67 2.39191 0.156092
1603.7 2.40131 0.15695
1609.73 2.41022 0.158235
1615.76 2.41736 0.15952
1621.78 2.4246 0.158176
1627.81 2.43321 0.157202
1633.84 2.44114 0.157274
1639.87 2.44791 0.156718
1645.9 2.45513 0.155408
1651.93 2.46239 0.154057
1657.96 2.4695 0.152697
1663.99 2.47656 0.150425
1670.02 2.48479 0.148133
1676.05 2.49303 0.146933
1682.07 2.50131 0.146046
1688.1 2.50869 0.145897
1694.13 2.51478 0.144459
1700.16 2.52328 0.141704
1706.19 2.53414 0.143722
1712.22 2.53967 0.147764
1718.25 2.54251 0.148572
1724.28 2.54398 0.148491
1730.31 2.54685 0.144058
1736.33 2.55122 0.139152
1742.36 2.55817 0.133255
1748.39 2.56865 0.130274
1754.42 2.57657 0.12984
1760.45 2.58343 0.129002
1766.48 2.59023 0.128033
1772.51 2.59696 0.127085
1778.54 2.60386 0.126251
1784.57 2.61042 0.12597
1790.59 2.6165 0.125526
1796.62 2.62281 0.124791
1802.65 2.62954 0.124556
1808.68 2.63578 0.124697
1814.71 2.6419 0.124754
1820.74 2.64859 0.124795
1826.77 2.65508 0.126773
1832.8 2.66058 0.128911
1838.83 2.66491 0.131589
1844.86 2.66753 0.133484
1850.88 2.67069 0.134218
1856.91 2.67407 0.135457
1862.94 2.67638 0.137021
1868.97 2.67775 0.137379
1875 2.67924 0.137456
1881.03 2.68061 0.136794
1887.06 2.68138 0.135746
1893.09 2.6828 0.133421
1899.12 2.68433 0.130518
1905.14 2.68731 0.126882
1911.17 2.69162 0.124501
1917.2 2.6949 0.122796
1923.23 2.69798 0.119782
1929.26 2.70286 0.116681
1935.29 2.70784 0.115364
1941.32 2.7127 0.114268
1947.35 2.71707 0.11375
1953.38 2.72122 0.113339
1959.41 2.72511 0.113041
1965.43 2.72892 0.113189
1971.46 2.73195 0.113541
1977.49 2.73451 0.113348
1983.52 2.73713 0.11311
1989.55 2.73947 0.112988
1995.58 2.74122 0.112659
2001.61 2.74299 0.111867
2007.64 2.74449 0.110813
2013.67 2.74605 0.109518
2019.69 2.74737 0.107568
2025.72 2.7492 0.105375
2031.75 2.75121 0.102996
2037.78 2.7533 0.100536
2043.81 2.75582 0.0976531
2049.84 2.75891 0.0949352
2055.87 2.76203 0.0925195
2061.9 2.76522 0.0900654
2067.93 2.76867 0.0875816
2073.95 2.77243 0.0854056
2079.98 2.77619 0.0833254
2086.01 2.78006 0.0814694
2092.04 2.78421 0.0797445
2098.07 2.78811 0.0785741
2104.1 2.79177 0.0773404
2110.13 2.79552 0.0760061
2116.16 2.79951 0.0749672
2122.19 2.80324 0.0741283
2128.22 2.8069 0.0734066
2134.24 2.81047 0.0727173
2140.27 2.81393 0.0721945
2146.3 2.81724 0.0716677
2152.33 2.82047 0.0711213
2158.36 2.82367 0.0705942
2164.39 2.82678 0.0700922
2170.42 2.82982 0.0695023
2176.45 2.83298 0.0688629
2182.48 2.83623 0.0684961
2188.5 2.83924 0.0681738
2194.53 2.84225 0.0677148
