W E1 E2
0.1 5.93538 3.91957e-05
6.1289 5.93579 0.00240311
12.1578 5.93702 0.00477194
18.1867 5.93905 0.00715054
24.2156 5.9419 0.00954383
30.2445 5.94558 0.0119568
36.2734 5.9501 0.0143945
42.3023 5.95547 0.0168622
48.3312 5.96171 0.0193653
54.3601 5.96885 0.0219094
60.389 5.9769 0.0245002
66.4179 5.98591 0.0271438
72.4468 5.99589 0.0298467
78.4757 6.00689 0.0326154
84.5046 6.01897 0.0354571
90.5335 6.03216 0.0383792
96.5624 6.04653 0.0413899
102.591 6.06215 0.0444976
108.62 6.07911 0.0477115
114.649 6.09749 0.0510415
120.678 6.11743 0.0544982
126.707 6.13904 0.058093
132.736 6.16252 0.0618385
138.765 6.18806 0.0657482
144.794 6.21593 0.0698368
150.822 6.24647 0.0741204
156.851 6.28016 0.0786168
162.88 6.31762 0.0833453
168.909 6.3598 0.0883274
174.938 6.40815 0.0935866
180.967 6.46513 0.099149
186.996 6.5355 0.105044
193.025 6.63072 0.111303
199.054 6.80044 0.117963
205.083 7.00858 0.413496
211.111 6.8656 0.746998
217.14 6.68424 0.777705
223.169 6.51551 0.766349
229.198 6.4668 0.633292
235.227 6.55094 0.558905
241.256 6.61467 0.551666
247.285 6.68817 0.574756
253.314 6.72997 0.613102
259.343 6.7658 0.617033
265.372 6.85208 0.623144
271.4 6.93108 0.688276
277.429 6.98928 0.75416
283.458 7.04195 0.819774
289.487 7.09232 0.889699
295.516 7.13552 0.964225
301.545 7.17096 1.03816
307.574 7.1965 1.11407
313.603 7.21737 1.15944
319.632 7.25342 1.20394
325.661 7.30925 1.23675
331.689 7.39023 1.28144
337.718 7.47494 1.34453
343.747 7.56089 1.40663
349.776 7.67199 1.47153
355.805 7.8049 1.55624
361.834 7.95703 1.66061
367.863 8.12007 1.81346
373.892 8.25877 1.98681
379.921 8.42579 2.15119
385.95 8.60828 2.34369
391.978 8.85303 2.56642
398.007 9.14541 2.8821
404.036 9.44177 3.31801
410.065 9.72289 3.82744
416.094 10.0172 4.52494
422.123 10.2807 5.36364
428.152 10.4178 6.51662
434.181 10.3201 7.91802
440.21 9.90882 9.74871
446.239 8.36544 11.6163
452.267 6.31541 13.3308
458.296 2.80676 14.2367
464.325 -0.903947 12.5925
470.354 -3.26751 10.3273
476.383 -4.24377 6.89274
482.412 -3.26896 4.15823
488.441 -2.23959 2.84675
494.47 -1.10654 2.02819
500.499 -0.305555 1.68697
506.527 0.29885 1.48029
512.556 0.763192 1.37525
518.585 1.11106 1.26808
524.614 1.42713 1.20824
530.643 1.67989 1.19426
536.672 1.83736 1.19062
542.701 1.98194 1.15176
548.73 2.09025 1.10548
554.759 2.22067 1.0463
560.788 2.35688 1.04568
566.816 2.39829 1.07565
572.845 2.40621 0.94961
578.874 2.58439 0.837208
584.903 2.71279 0.911566
590.932 2.75626 1.01216
596.961 2.60494 1.16133
602.99 2.05053 0.734898
609.019 2.53302 -0.203881
615.048 3.80488 0.662844
621.077 2.67408 2.17594
627.105 1.17585 0.0285977
633.134 3.21284 -1.77168
639.163 4.47005 -0.453918
645.192 4.1306 0.427447
651.221 3.98108 0.531667
657.25 3.90223 0.602978
663.279 3.86072 0.64954
669.308 3.81488 0.653944
675.337 3.80273 0.647165
681.366 3.7934 0.642428
687.394 3.74415 0.618611
693.423 3.75292 0.509048
699.452 3.83548 0.415066
705.481 3.95888 0.34389
711.51 4.16454 0.411293
717.539 4.18354 0.569914
723.568 4.09691 0.527177
729.597 4.16934 0.443933
735.626 4.26795 0.454539
741.655 4.34539 0.470588
747.683 4.4229 0.490731
753.712 4.49336 0.508774
759.741 4.59219 0.524938
765.77 4.71451 0.560572
771.799 4.88301 0.625096
777.828 5.06344 0.87877
783.857 5.0383 1.19706
789.886 4.9328 1.41112
795.915 4.72301 1.61039
801.944 4.46971 1.66739
807.972 4.28763 1.66038
814.001 4.0607 1.58663
820.03 3.93062 1.46322
826.059 3.80755 1.35735
832.088 3.69909 1.13731
838.117 3.69362 0.945038
844.146 3.72749 0.770088
850.175 3.76764 0.61353
856.204 3.84708 0.44885
862.233 3.95799 0.307145
868.261 4.08519 0.183456
874.29 4.23392 0.0834724
880.319 4.39614 -0.00376013
886.348 4.57006 -0.0406789
892.377 4.73469 -0.0656826
898.406 4.88084 -0.0616602
904.435 4.99934 -0.0647284
910.464 5.12566 -0.0843619
916.493 5.25366 -0.110774
922.522 5.39976 -0.142449
928.55 5.55938 -0.167265
934.579 5.72351 -0.18871
940.608 5.89847 -0.218795
946.637 6.08962 -0.248636
952.666 6.30094 -0.282495
958.695 6.52721 -0.324244
964.724 6.80039 -0.379663
970.753 7.12418 -0.423049
976.782 7.48881 -0.45662
982.81 7.91028 -0.47863
988.839 8.40737 -0.492994
994.868 8.98863 -0.4593
1000.9 9.72 -0.380167
1006.93 10.5036 -0.156994
1012.95 11.4717 0.216221
