W E2
200 12.7438
205.956 12.0552
211.911 11.4128
217.867 10.8129
223.823 10.2521
229.779 9.72735
235.734 9.23602
241.69 8.77556
247.646 8.3437
253.602 7.93836
259.557 7.55763
265.513 7.19976
271.469 6.86316
277.425 6.54636
283.38 6.24799
289.336 5.96682
295.292 5.7017
301.247 5.45156
307.203 5.21543
313.159 4.9924
319.115 4.78163
325.07 4.58236
331.026 4.39386
336.982 4.21547
342.938 4.04657
348.893 3.8866
354.849 3.73502
360.805 3.59134
366.761 3.4551
372.716 3.32589
378.672 3.2033
384.628 3.08698
390.584 2.97658
396.539 2.87179
402.495 2.77233
408.451 2.67791
414.406 2.58829
420.362 2.50325
426.318 2.42257
432.274 2.34606
438.229 2.27354
444.185 2.20486
450.141 2.13987
456.097 2.07844
462.052 2.02046
468.008 1.96585
473.964 1.91451
479.92 1.86638
485.875 1.82143
491.831 1.77963
497.787 1.74097
503.742 1.70547
509.698 1.67317
515.654 1.64413
521.61 1.61847
527.565 1.59631
533.521 1.57782
539.477 1.56323
545.433 1.5528
551.388 1.54685
557.344 1.5458
563.3 1.55011
569.256 1.56035
575.211 1.57717
581.167 1.60133
587.123 1.63369
593.078 1.67518
599.034 1.7268
604.99 1.78951
610.946 1.86412
616.901 1.95107
622.857 2.0501
628.813 2.15983
634.769 2.27715
640.724 2.39674
646.68 2.51068
652.636 2.60876
658.592 2.67967
664.547 2.71318
670.503 2.70274
676.459 2.6474
682.414 2.55215
688.37 2.42634
694.326 2.28117
700.282 2.12731
706.237 1.97338
712.193 1.82542
718.149 1.68708
724.105 1.56017
730.06 1.44518
736.016 1.34177
741.972 1.24918
747.928 1.16641
753.883 1.09241
759.839 1.02618
765.795 0.96677
771.751 0.913325
777.706 0.865098
783.662 0.821433
789.618 0.781762
795.573 0.745593
801.529 0.712503
807.485 0.682128
813.441 0.654153
819.396 0.628307
825.352 0.604355
831.308 0.582094
837.264 0.561348
843.219 0.541963
849.175 0.523805
855.131 0.506757
861.087 0.490716
867.042 0.475589
872.998 0.461298
878.954 0.447771
884.909 0.434945
890.865 0.422763
896.821 0.411176
902.777 0.400137
908.732 0.389607
914.688 0.379548
920.644 0.369929
926.6 0.360719
932.555 0.351891
938.511 0.34342
944.467 0.335285
950.423 0.327464
956.378 0.319938
962.334 0.312692
968.29 0.305708
974.245 0.298972
980.201 0.29247
986.157 0.286191
992.113 0.280123
998.068 0.274255
1004.02 0.268576
1009.98 0.263079
1015.94 0.257754
1021.89 0.252593
1027.85 0.247589
1033.8 0.242735
1039.76 0.238024
1045.71 0.233449
1051.67 0.229006
1057.63 0.224689
1063.58 0.220492
1069.54 0.21641
1075.49 0.21244
1081.45 0.208577
1087.4 0.204816
1093.36 0.201154
1099.32 0.197587
1105.27 0.194111
1111.23 0.190724
1117.18 0.187422
1123.14 0.184202
1129.09 0.181062
1135.05 0.177998
1141.01 0.175008
1146.96 0.172089
1152.92 0.16924
1158.87 0.166457
1164.83 0.163739
1170.78 0.161084
1176.74 0.15849
1182.7 0.155954
1188.65 0.153476
1194.61 0.151052
1200.56 0.148683
1206.52 0.146365
1212.47 0.144098
1218.43 0.141879
1224.39 0.139709
1230.34 0.137584
1236.3 0.135504
1242.25 0.133468
1248.21 0.131475
1254.16 0.129522
1260.12 0.12761
1266.08 0.125737
1272.03 0.123901
1277.99 0.122103
1283.94 0.12034
1289.9 0.118613
1295.86 0.11692
1301.81 0.115259
1307.77 0.113632
1313.72 0.112035
1319.68 0.11047
1325.63 0.108934
1331.59 0.107428
1337.55 0.10595
1343.5 0.1045
1349.46 0.103077
1355.41 0.10168
1361.37 0.100309
1367.32 0.0989635
1373.28 0.0976425
1379.24 0.0963455
1385.19 0.0950719
1391.15 0.0938212
1397.1 0.0925929
1403.06 0.0913864
1409.01 0.0902013
1414.97 0.089037
1420.93 0.0878931
1426.88 0.0867692
1432.84 0.0856647
1438.79 0.0845793
1444.75 0.0835124
1450.7 0.0824639
1456.66 0.0814331
1462.62 0.0804197
1468.57 0.0794234
1474.53 0.0784438
1480.48 0.0774805
1486.44 0.0765332
1492.39 0.0756015
1498.35 0.0746852
1504.31 0.0737838
1510.26 0.0728971
1516.22 0.0720248
1522.17 0.0711665
1528.13 0.070322
1534.08 0.0694911
1540.04 0.0686733
1546 0.0678686
1551.95 0.0670765
1557.91 0.0662968
1563.86 0.0655294
1569.82 0.0647739
1575.77 0.0640301
1581.73 0.0632979
1587.69 0.0625768
1593.64 0.0618669
1599.6 0.0611677
1605.55 0.0604792
1611.51 0.059801
1617.46 0.0591331
1623.42 0.0584752
1629.38 0.0578272
1635.33 0.0571888
1641.29 0.0565598
1647.24 0.0559401
1653.2 0.0553296
1659.15 0.0547279
1665.11 0.0541351
1671.07 0.0535509
1677.02 0.0529751
1682.98 0.0524076
1688.93 0.0518483
1694.89 0.051297
1700.85 0.0507535
1706.8 0.0502178
1712.76 0.0496896
1718.71 0.0491689
1724.67 0.0486554
1730.62 0.0481492
1736.58 0.04765
1742.54 0.0471578
1748.49 0.0466723
1754.45 0.0461936
1760.4 0.0457214
1766.36 0.0452557
1772.31 0.0447963
1778.27 0.0443432
1784.23 0.0438962
1790.18 0.0434552
1796.14 0.0430202
1802.09 0.042591
1808.05 0.0421675
1814 0.0417497
1819.96 0.0413374
1825.92 0.0409305
1831.87 0.040529
1837.83 0.0401327
1843.78 0.0397417
1849.74 0.0393557
1855.69 0.0389747
1861.65 0.0385987
1867.61 0.0382275
1873.56 0.0378611
1879.52 0.0374994
1885.47 0.0371423
1891.43 0.0367898
1897.38 0.0364417
1903.34 0.036098
1909.3 0.0357587
1915.25 0.0354236
1921.21 0.0350927
1927.16 0.0347659
1933.12 0.0344432
1939.07 0.0341245
