W R
0 0.2
0.403063 0.199726
0.806127 0.198908
1.20919 0.197562
1.61225 0.195712
2.01532 0.193392
2.41838 0.190641
2.82144 0.187509
3.22451 0.184047
3.62757 0.180312
4.03063 0.176363
4.4337 0.172259
4.83676 0.168059
5.23982 0.163819
5.64289 0.159592
6.04595 0.155429
6.44901 0.151372
6.85208 0.147461
7.25514 0.143727
7.6582 0.140198
8.06127 0.136892
8.46433 0.133824
8.86739 0.131003
9.27046 0.12843
9.67352 0.126106
10.0766 0.124023
10.4796 0.122174
10.8827 0.120546
11.2858 0.119125
11.6888 0.117897
12.0919 0.116845
12.495 0.115952
12.898 0.115202
13.3011 0.114579
13.7042 0.114067
14.1072 0.113652
14.5103 0.113321
14.9133 0.113061
15.3164 0.112861
15.7195 0.112712
16.1225 0.112604
16.5256 0.112532
16.9287 0.112488
17.3317 0.112467
17.7348 0.112465
18.1378 0.112478
18.5409 0.112504
18.944 0.112539
19.347 0.112581
19.7501 0.112631
20.1532 0.112685
20.5562 0.112743
20.9593 0.112805
21.3624 0.11287
21.7654 0.112937
22.1685 0.113007
22.5715 0.113078
22.9746 0.113152
23.3777 0.113227
23.7807 0.113305
24.1838 0.113384
24.5869 0.113464
24.9899 0.113547
25.393 0.113631
25.796 0.113717
26.1991 0.113804
26.6022 0.113894
27.0052 0.113985
27.4083 0.114078
27.8114 0.114172
28.2144 0.114269
28.6175 0.114367
29.0206 0.114467
29.4236 0.114569
29.8267 0.114673
30.2297 0.114779
30.6328 0.114887
31.0359 0.114997
31.4389 0.115108
31.842 0.115222
32.2451 0.115338
32.6481 0.115456
33.0512 0.115576
33.4543 0.115698
33.8573 0.115823
34.2604 0.115949
34.6634 0.116078
35.0665 0.116209
35.4696 0.116342
35.8726 0.116478
36.2757 0.116616
36.6788 0.116756
37.0818 0.116899
37.4849 0.117044
37.8879 0.117192
38.291 0.117343
38.6941 0.117496
39.0971 0.117651
39.5002 0.11781
39.9033 0.117971
40.3063 0.118134
40.7094 0.118301
41.1125 0.118471
41.5155 0.118643
41.9186 0.118818
42.3216 0.118997
42.7247 0.119178
43.1278 0.119362
43.5308 0.11955
43.9339 0.119741
44.337 0.119935
44.74 0.120133
45.1431 0.120334
45.5462 0.120538
45.9492 0.120746
46.3523 0.120958
46.7553 0.121173
47.1584 0.121392
47.5615 0.121615
47.9645 0.121842
48.3676 0.122073
48.7707 0.122307
49.1737 0.122546
49.5768 0.12279
49.9798 0.123037
50.3829 0.123289
50.786 0.123545
51.189 0.123806
51.5921 0.124072
51.9952 0.124343
52.3982 0.124618
52.8013 0.124898
53.2044 0.125184
53.6074 0.125475
54.0105 0.125771
54.4135 0.126072
54.8166 0.12638
55.2197 0.126693
55.6227 0.127011
56.0258 0.127336
56.4289 0.127667
56.8319 0.128005
57.235 0.128348
57.638 0.128699
58.0411 0.129056
58.4442 0.12942
58.8472 0.129791
59.2503 0.13017
59.6534 0.130556
60.0564 0.13095
60.4595 0.131352
60.8626 0.131761
61.2656 0.13218
61.6687 0.132606
62.0717 0.133042
62.4748 0.133486
62.8779 0.13394
63.2809 0.134404
63.684 0.134877
64.0871 0.13536
64.4901 0.135854
64.8932 0.136359
65.2963 0.136874
65.6993 0.137401
66.1024 0.13794
66.5054 0.138491
66.9085 0.139054
67.3116 0.13963
67.7146 0.140219
68.1177 0.140822
68.5208 0.141439
68.9238 0.142071
69.3269 0.142718
69.7299 0.14338
70.133 0.144059
70.5361 0.144754
70.9391 0.145466
71.3422 0.146196
71.7453 0.146945
72.1483 0.147712
72.5514 0.1485
72.9545 0.149308
73.3575 0.150137
73.7606 0.150988
74.1636 0.151863
74.5667 0.152761
74.9698 0.153684
75.3728 0.154632
75.7759 0.155608
76.179 0.156611
76.582 0.157643
76.9851 0.158705
77.3881 0.159799
77.7912 0.160926
78.1943 0.162086
78.5973 0.163283
79.0004 0.164516
79.4035 0.165789
79.8065 0.167102
80.2096 0.168457
80.6127 0.169858
81.0157 0.171305
81.4188 0.1728
81.8218 0.174347
82.2249 0.175948
82.628 0.177606
83.031 0.179322
83.4341 0.181101
83.8372 0.182946
84.2402 0.18486
84.6433 0.186846
85.0464 0.18891
85.4494 0.191054
85.8525 0.193284
86.2555 0.195604
86.6586 0.198019
87.0617 0.200536
87.4647 0.203159
87.8678 0.205896
88.2709 0.208753
88.6739 0.211736
89.077 0.214855
89.48 0.218117
89.8831 0.221531
90.2862 0.225107
90.6892 0.228853
91.0923 0.232782
91.4954 0.236903
91.8984 0.241228
92.3015 0.245769
92.7046 0.250538
93.1076 0.255548
93.5107 0.26081
93.9137 0.266336
94.3168 0.272137
94.7199 0.278219
95.1229 0.284591
95.526 0.291252
95.9291 0.298201
96.3321 0.305427
96.7352 0.31291
97.1383 0.320622
97.5413 0.328519
97.9444 0.336544
98.3474 0.344625
98.7505 0.352673
99.1536 0.360589
99.5566 0.368261
99.9597 0.375574
100.363 0.382415
100.766 0.388677
101.169 0.394268
101.572 0.399109
101.975 0.403141
102.378 0.406322
102.781 0.408624
103.184 0.410033
103.587 0.410546
103.99 0.410166
104.393 0.408901
104.796 0.406761
105.2 0.403759
105.603 0.399905
106.006 0.39521
106.409 0.389685
106.812 0.383337
107.215 0.376175
107.618 0.368204
108.021 0.359433
108.424 0.349869
108.827 0.339521
109.23 0.328402
109.633 0.31653
110.036 0.303928
110.439 0.290627
110.842 0.276673
111.245 0.262119
111.649 0.247039
112.052 0.231522
112.455 0.215678
112.858 0.199637
113.261 0.183548
113.664 0.167579
114.067 0.151907
114.47 0.136713
114.873 0.122171
115.276 0.108439
115.679 0.0956442
116.082 0.0838821
116.485 0.0732077
116.888 0.0636375
117.291 0.0551535
117.694 0.0477096
118.098 0.0412396
118.501 0.0356642
118.904 0.0308981
119.307 0.0268551
119.71 0.0234518
120.113 0.0206099
120.516 0.0182577
120.919 0.0163306
121.322 0.0147714
121.725 0.0135296
122.128 0.0125609
122.531 0.0118271
