W S1
0 0
12.926 75.7435
25.8519 75.0025
38.7779 73.7993
51.7039 72.1784
64.6298 70.1963
77.5558 67.9172
90.4818 65.4079
103.408 62.7342
116.334 59.9574
129.26 57.1322
142.186 54.3053
155.112 51.5151
168.038 48.7922
180.964 46.1593
193.89 43.6331
206.816 37.4652
219.741 38.9068
232.667 38.4237
245.593 34.7337
258.519 33.1101
271.445 33.7684
284.371 31.7954
297.297 27.1009
310.223 28.05
323.149 26.4624
336.075 23.2
349.001 22.69
361.927 19.6366
374.853 18.4303
387.779 16.2262
400.705 14.1779
413.631 12.1472
426.557 8.74686
439.483 2.70912
452.409 -1.48953
465.335 1.37406
478.261 10.66
491.187 13.584
504.113 11.6547
517.039 10.6289
529.965 8.90393
542.891 8.15258
555.817 9.11413
568.743 13.284
581.669 20.9982
594.595 23.7679
607.521 19.5023
620.447 26.5771
633.373 11.8812
646.298 32.9821
659.224 30.5012
672.15 28.4118
685.076 25.201
698.002 23.4248
710.928 21.875
723.854 20.9213
736.78 19.492
749.706 18.8816
762.632 16.1375
775.558 13.5531
788.484 9.06845
801.41 6.27667
814.336 4.818
827.262 3.40243
840.188 3.98273
853.114 4.35314
866.04 3.63038
878.966 2.75594
891.892 2.95546
904.818 1.91824
917.744 1.73747
930.67 1.40445
943.596 0.763164
956.522 0.0204365
969.448 -1.54505
982.374 -6.14005
995.3 -10.8715
1008.23 -16.8003
1021.15 -25.2455
1034.08 -44.6821
1047 -64.0697
1059.93 -88.8192
1072.86 -36.6278
1085.78 -1.78537
1098.71 12.9385
1111.63 23.3645
1124.56 24.8734
1137.49 18.786
1150.41 14.2001
1163.34 13.0212
1176.26 11.7912
1189.19 10.8933
1202.12 10.1561
1215.04 8.84771
1227.97 8.39517
1240.89 8.1827
1253.82 7.88802
1266.75 7.17371
1279.67 6.83827
1292.6 6.70436
1305.52 6.37034
1318.45 5.98092
1331.37 5.68485
1344.3 4.9355
1357.23 4.30093
1370.15 4.46026
1383.08 4.55073
1396 4.51717
1408.93 4.65214
1421.86 5.44369
1434.78 5.62889
1447.71 5.47028
1460.63 4.67664
1473.56 3.56099
1486.49 3.22134
1499.41 2.63656
1512.34 1.7369
1525.26 0.779577
1538.19 0.769085
1551.12 1.36039
1564.04 1.61012
1576.97 2.55596
1589.89 2.98569
1602.82 3.73227
1615.75 3.89983
1628.67 3.8653
1641.6 3.42039
1654.52 3.5632
1667.45 3.05511
1680.38 2.62696
1693.3 1.99649
1706.23 1.78262
1719.15 1.1089
1732.08 0.578332
1745.01 0.584564
1757.93 0.301274
1770.86 0.364379
1783.78 0.411807
1796.71 0.506854
1809.64 0.625033
1822.56 0.705926
1835.49 0.562756
1848.41 0.552159
1861.34 0.612207
1874.27 0.567758
1887.19 0.179696
1900.12 0.0695658
1913.04 -0.523567
1925.97 -0.273412
1938.9 -0.754169
1951.82 -1.59965
1964.75 -1.73098
1977.67 -1.42266
1990.6 -1.01917
2003.53 -0.410063
2016.45 0.075352
2029.38 -0.0372561
2042.3 0.0450207
2055.23 0.134065
2068.16 0.105865
2081.08 0.280615
2094.01 0.11123
2106.93 -0.0036342
2119.86 -0.0353738
2132.78 -0.57971
2145.71 -1.57952
2158.64 -1.94189
2171.56 -1.00678
2184.49 -0.512113
2197.41 -0.0977936
2210.34 0.0191879
2223.27 0.0273359
2236.19 0.126473
2249.12 0.141341
2262.04 0.189579
2274.97 0.225277
2287.9 0.167272
2300.82 0.321268
2313.75 0.320532
2326.67 0.455095
2339.6 0.30059
2352.53 -0.110314
2365.45 -0.471065
2378.38 -1.77737
2391.3 -2.51194
2404.23 -2.78797
2417.16 -2.30426
2430.08 -2.81138
2443.01 -3.20241
2455.93 -3.33531
2468.86 -4.14725
2481.79 -3.75252
2494.71 -3.41464
2507.64 -3.50882
2520.56 -3.31262
2533.49 -3.18708
2546.42 -4.23926
2559.34 -4.30804
2572.27 -4.21369
2585.19 -3.98228
2598.12 -3.69605
2611.05 -3.26272
2623.97 -3.10216
2636.9 -2.28447
2649.82 -1.76408
2662.75 -1.85776
2675.68 -1.80528
2688.6 -1.33993
2701.53 -0.961798
2714.45 -0.780677
2727.38 -0.131637
2740.31 0.151282
2753.23 -0.0439742
2766.16 -0.0615195
2779.08 -0.547607
2792.01 -0.398633
2804.94 -0.660439
2817.86 -0.0502355
2830.79 0.372687
2843.71 -0.00718264
2856.64 0.809137
2869.57 1.26259
2882.49 1.10852
2895.42 1.09366
2908.34 0.577731
2921.27 0.446976
2934.2 2.01413
2947.12 1.33732
2960.05 1.01283
2972.97 0.839796
2985.9 0.814511
2998.82 0.740024
3011.75 0.752769
3024.68 0.453892
3037.6 0.49215
3050.53 0.773358
3063.45 0.921164
3076.38 0.941417
3089.31 1.05317
3102.23 0.993951
3115.16 1.07173
3128.08 1.11242
3141.01 1.32166
3153.94 1.45311
3166.86 1.71303
3179.79 1.78249
3192.71 1.64931
3205.64 1.67647
3218.57 1.68238
3231.49 1.35679
3244.42 1.37007
3257.34 1.34197
3270.27 1.01598
3283.2 1.07853
3296.12 0.81088
3309.05 0.568297
3321.97 0.0891032
3334.9 0.710109
3347.83 0.707241
3360.75 0.826885
3373.68 0.972712
3386.6 0.532699
3399.53 0.91486
3412.46 0.758657
3425.38 0.641378
3438.31 0.493377
3451.23 0.368992
3464.16 0.158802
3477.09 -0.629066
3490.01 -2.16814
3502.94 -3.36922
3515.86 -3.70905
3528.79 -4.11622
3541.72 -4.1626
3554.64 -6.32553
3567.57 -7.34458
3580.49 -6.19594
3593.42 -7.93831
3606.35 -5.91128
3619.27 -7.04991
3632.2 -7.46097
3645.12 -9.81026
3658.05 -6.61057
3670.98 -6.3597
3683.9 -5.51299
3696.83 -5.6352
3709.75 -5.9752
3722.68 -3.72185
3735.61 -4.08735
3748.53 -2.19715
3761.46 -2.7961
3774.38 -1.52607
3787.31 -1.73809
3800.24 -2.31845
3813.16 -6.75442
3826.09 -4.9667
3839.01 -5.34305
3851.94 -5.00209
3864.86 -4.86245
3877.79 -4.93584
3890.72 -4.13641
3903.64 -3.34975
3916.57 -5.8405
3929.49 -3.88526
3942.42 -3.83819
3955.35 -2.72025
3968.27 -2.41862
3981.2 -2.10207
3994.12 -1.53801
4007.05 -1.16788
4019.98 -0.559332
4032.9 -0.0508668
4045.83 0.046551
4058.75 0.234383
4071.68 0.383078
4084.61 0.515193
4097.53 0.66932
4110.46 0.818478
4123.38 1.04049
4136.31 1.21016
4149.24 1.35812
4162.16 1.57304
4175.09 1.78792
4188.01 1.95897
4200.94 2.18204
4213.87 2.39369
4226.79 2.64819
4239.72 2.79496
4252.64 3.08136
4265.57 3.24667
4278.5 3.49436
4291.42 3.69148
4304.35 3.93574
4317.27 4.1254
4330.2 4.44187
4343.13 4.65464
4356.05 4.90238
4368.98 5.14811
4381.9 5.32648
4394.83 5.71347
4407.76 5.97101
4420.68 6.21766
4433.61 6.45373
4446.53 6.8196
4459.46 7.01701
4472.39 7.33542
4485.31 7.60222
4498.24 7.89411
4511.16 8.15422
4524.09 8.49944
4537.02 8.8498
4549.94 9.11147
4562.87 9.45562
4575.79 9.78262
4588.72 10.1029
4601.65 10.4558
4614.57 10.7642
4627.5 11.0972
4640.42 11.4784
4653.35 11.771
4666.27 12.1618
4679.2 12.556
4692.13 12.9069
4705.05 13.3328
4717.98 13.7488
4730.9 14.0764
4743.83 14.474
4756.76 14.8118
4769.68 15.2027
4782.61 15.6672
4795.53 16.0069
4808.46 16.3818
4821.39 16.8671
4834.31 17.3197
4847.24 17.8038
4860.16 18.1922
4873.09 18.6722
4886.02 19.0796
4898.94 19.4452
4911.87 19.9953
4924.79 20.4665
4937.72 20.8803
4950.65 21.398
4963.57 21.9128
4976.5 22.3566
4989.42 22.8545
5002.35 23.3854
5015.28 23.9137
5028.2 24.3952
5041.13 25.0274
5054.05 25.3958
5066.98 25.9647
5079.91 26.4966
5092.83 27.0242
5105.76 27.6377
5118.68 28.3156
5131.61 28.8505
5144.54 29.3872
5157.46 29.9505
5170.39 30.5289
5183.31 31.1815
5196.24 31.8014
5209.17 32.3723
5222.09 33.0036
5235.02 33.8295
5247.94 34.2628
5260.87 34.856
5273.8 35.5575
5286.72 36.3373
5299.65 36.9957
5312.57 37.7189
5325.5 38.238
5338.43 38.8785
5351.35 39.5982
5364.28 40.5321
5377.2 41.0721
5390.13 41.8272
5403.06 42.4226
5415.98 43.0762
5428.91 43.9252
5441.83 44.6632
5454.76 45.3238
5467.69 46.1047
5480.61 46.8251
5493.54 47.5422
5506.46 48.5395
5519.39 49.3422
5532.31 50.0353
5545.24 50.9078
