W T
0.403063 0.798744
0.806127 0.79499
1.20919 0.788772
1.61225 0.780148
2.01532 0.769201
2.41838 0.75603
2.82144 0.740756
3.22451 0.723516
3.62757 0.704462
4.03063 0.68376
4.4337 0.661583
4.83676 0.638114
5.23982 0.61354
5.64289 0.588052
6.04595 0.561841
6.44901 0.535095
6.85208 0.507999
7.25514 0.480732
7.6582 0.453466
8.06127 0.426362
8.46433 0.399574
8.86739 0.373241
9.27046 0.347493
9.67352 0.322443
10.0766 0.298195
10.4796 0.274836
10.8827 0.252441
11.2858 0.23107
11.6888 0.21077
12.0919 0.191575
12.495 0.173508
12.898 0.156578
13.3011 0.140785
13.7042 0.126118
14.1072 0.112557
14.5103 0.100075
14.9133 0.0886361
15.3164 0.0782009
15.7195 0.0687234
16.1225 0.0601543
16.5256 0.0524415
16.9287 0.0455308
17.3317 0.0393671
17.7348 0.0338948
18.1378 0.0290588
18.5409 0.0248051
18.944 0.0210812
19.347 0.0178365
19.7501 0.015023
20.1532 0.0125951
20.5562 0.0105104
20.9593 0.00872914
21.3624 0.00721484
21.7654 0.00593402
22.1685 0.00485628
22.5715 0.00395415
22.9746 0.00320302
23.3777 0.00258097
23.7807 0.00206863
24.1838 0.00164899
24.5869 0.0013072
24.9899 0.00103043
25.393 0.000807592
25.796 0.000629248
26.1991 0.000487367
26.6022 0.000375186
27.0052 0.000287039
27.4083 0.000218215
27.8114 0.000164826
28.2144 0.000123681
28.6175 9.21853e-05
29.0206 6.82402e-05
29.4236 5.01623e-05
29.8267 3.66107e-05
30.2297 2.65257e-05
30.6328 1.9076e-05
31.0359 1.36143e-05
31.4389 9.64101e-06
31.842 6.77318e-06
32.2451 4.71986e-06
32.6481 3.26176e-06
33.0512 2.23502e-06
33.4543 1.5182e-06
33.8573 1.02215e-06
34.2604 6.81931e-07
34.6634 4.50732e-07
35.0665 2.95089e-07
35.4696 1.91312e-07
35.8726 1.22797e-07
36.2757 7.80159e-08
36.6788 4.90477e-08
37.0818 3.05059e-08
37.4849 1.87655e-08
37.8879 1.14138e-08
38.291 6.86233e-09
38.6941 4.07712e-09
39.0971 2.39301e-09
39.5002 1.38711e-09
39.9033 7.93791e-10
40.3063 4.48321e-10
40.7094 2.49808e-10
41.1125 1.37279e-10
41.5155 7.43737e-11
41.9186 3.97087e-11
42.3216 2.08848e-11
42.7247 1.08162e-11
43.1278 5.51355e-12
43.5308 2.7651e-12
43.9339 1.36369e-12
44.337 6.61053e-13
44.74 3.14821e-13
45.1431 1.47223e-13
45.5462 6.75679e-14
45.9492 3.04176e-14
46.3523 1.3424e-14
46.7553 5.80437e-15
47.1584 2.45742e-15
47.5615 1.01808e-15
47.9645 4.12456e-16
48.3676 1.63293e-16
48.7707 6.31318e-17
49.1737 2.38176e-17
49.5768 8.76161e-18
49.9798 3.14024e-18
50.3829 1.09566e-18
50.786 3.71837e-19
51.189 1.22632e-19
51.5921 3.92666e-20
51.9952 1.21954e-20
52.3982 3.67014e-21
52.8013 1.06912e-21
53.2044 3.01134e-22
53.6074 8.19187e-23
54.0105 2.14973e-23
54.4135 5.43534e-24
54.8166 1.32236e-24
55.2197 3.09152e-25
55.6227 6.93557e-26
56.0258 1.49089e-26
56.4289 3.06618e-27
56.8319 6.02346e-28
57.235 1.1284e-28
57.638 2.01231e-29
58.0411 3.40993e-30
58.4442 5.48008e-31
58.8472 8.33587e-32
59.2503 1.19765e-32
59.6534 1.6217e-33
60.0564 2.06479e-34
60.4595 2.46604e-35
60.8626 2.75581e-36
61.2656 2.87389e-37
61.6687 2.78905e-38
62.0717 2.51153e-39
62.4748 2.09212e-40
62.8779 1.60694e-41
63.2809 1.13424e-42
63.684 7.33086e-44
