W	E1	E2
200	6.86203	0.00561568
204.743	7.00665	0.00545135
209.486	6.95665	0.00529434
214.228	6.75296	0.0051442
218.971	6.64305	0.00500051
223.714	6.50473	0.0048629
228.457	6.46567	0.00473101
233.199	6.52302	0.00460453
237.942	6.57973	0.00448316
242.685	6.63244	0.00436664
247.428	6.68938	0.00425472
252.17	6.72442	0.00414718
256.913	6.74507	0.00404379
261.656	6.79059	0.00394437
266.399	6.86896	0.00384874
271.141	6.92819	0.00375674
275.884	6.9752	0.00366821
280.627	7.01754	0.00358301
285.37	7.05807	0.00350101
290.113	7.09704	0.0034221
294.855	7.13107	0.00334616
299.598	7.15969	0.00327311
304.341	7.18534	0.00320284
309.084	7.1963	0.00313528
313.826	7.21858	0.00307035
318.569	7.24798	0.003008
323.312	7.28433	0.00294817
328.055	7.33805	0.00289081
332.797	7.40556	0.00283589
337.54	7.47228	0.00278338
342.283	7.53744	0.00273326
347.026	7.61829	0.00268553
351.768	7.7145	0.00264019
356.511	7.82124	0.00259725
361.254	7.94045	0.00255676
365.997	8.07148	0.00251875
370.74	8.19202	0.00248329
375.482	8.29828	0.00245046
380.225	8.43483	0.00242036
384.968	8.57458	0.00239313
389.711	8.75416	0.00236892
394.453	8.96934	0.00234793
399.196	9.20453	0.00233039
403.939	9.4371	0.00231659
408.682	9.64974	0.00230684
413.424	9.89977	0.00230156
418.167	10.1001	0.00230121
422.91	10.3123	0.00230634
427.653	10.4148	0.00231761
432.395	10.3821	0.00233577
437.138	10.1691	0.00236168
441.881	9.57833	0.00239633
446.624	8.24562	0.00244079
451.367	6.74545	0.00249622
456.109	4.20176	0.00256373
460.852	0.874836	0.00264431
465.595	-1.42948	0.00273853
470.338	-3.26053	0.00284626
475.08	-4.20235	0.00296621
479.823	-3.96929	0.00309542
484.566	-2.87568	0.00322896
489.309	-2.09336	0.00336019
494.051	-1.1739	0.00348252
498.794	-0.508273	0.00359466
503.537	0.0158154	0.00371855
508.28	0.44868	0.00397808
513.023	0.79038	0.00427367
517.765	1.06345	0.00383732
522.508	1.32266	0.00366915
527.251	1.54571	0.00361873
531.994	1.72534	0.00362702
536.736	1.83829	0.00368864
541.479	1.9536	0.00380407
546.222	2.04343	0.00396461
550.965	2.13591	0.00414205
555.707	2.24305	0.00428564
560.45	2.35086	0.00434023
565.193	2.40052	0.004285
569.936	2.37484	0.00415682
574.678	2.4379	0.00403148
579.421	2.60281	0.0039918
584.164	2.70239	0.004122
588.907	2.74932	0.00453556
593.65	2.72117	0.00543559
598.392	2.50471	0.00720458
603.135	2.04862	0.0103038
607.878	2.33935	0.013644
612.621	3.6302	0.0129379
617.363	3.68706	0.00914735
622.106	1.92815	0.00617307
626.849	1.16617	0.00443243
631.592	2.16502	0.00342325
636.334	4.12685	0.0028064
641.077	4.52675	0.00240702
645.82	4.10027	0.00213551
650.563	3.98892	0.00194391
655.305	3.91862	0.00180525
660.048	3.88128	0.00170368
664.791	3.84146	0.00162961
669.534	3.81239	0.00157725
674.277	3.80227	0.0015432
679.019	3.79611	0.00152583
683.762	3.78277	0.00152489
688.505	3.73664	0.00154153
693.248	3.74944	0.00157841
697.99	3.80986	0.0016401
702.733	3.89205	0.00173367
707.476	4.02593	0.0018693
712.219	4.17293	0.00205999
716.961	4.18827	0.00231762
721.704	4.0954	0.00263871
726.447	4.11204	0.0029735
731.19	4.19873	0.00320545
735.932	4.2689	0.00322418
740.675	4.32974	0.0030552
745.418	4.39025	0.00282828
750.161	4.4493	0.00264249
754.904	4.5069	0.00252739
759.646	4.58633	0.00247197
764.389	4.67935	0.00244989
769.132	4.79414	0.00243201
773.875	4.97154	0.00239501
778.617	5.06746	0.00232904
783.36	5.05041	0.00224005
788.103	4.96149	0.00214501
792.846	4.84705	0.00206484
797.588	4.64761	0.00202101
802.331	4.44737	0.00203609
807.074	4.31465	0.00212562
811.817	4.12791	0.00224034
816.559	3.99494	0.00221781
821.302	3.89768	0.00204294
826.045	3.79905	0.00187777
830.788	3.69729	0.00178198
835.531	3.68353	0.00174364
840.273	3.69071	0.00174498
845.016	3.72273	0.0017742
849.759	3.75157	0.00182372
854.502	3.80787	0.00188772
859.244	3.88651	0.00196055
863.987	3.97788	0.00203584
868.73	4.07987	0.00210613
873.473	4.19624	0.00216329
878.215	4.31637	0.00219952
882.958	4.45791	0.00220889
887.701	4.58375	0.00218876
892.444	4.71263	0.00214053
897.186	4.82744	0.00206913
901.929	4.9253	0.00198177
906.672	5.01459	0.00188628
911.415	5.1122	0.00178986
916.158	5.20916	0.00169834
920.9	5.31844	0.00161608
925.643	5.4374	0.0015461
930.386	5.55965	0.00149047
935.129	5.68338	0.00145045
939.871	5.81519	0.00142642
944.614	5.95662	0.00141744
949.357	6.10628	0.00142011
954.1	6.2683	0.00142734
958.842	6.43657	0.00142815
963.585	6.63517	0.00141053
968.328	6.86448	0.00136728
973.071	7.11446	0.00130043
977.814	7.39064	0.00121949
982.556	7.69773	0.00113551
987.299	8.04183	0.00105653
992.042	8.43906	0.000986651
996.785	8.87528	0.00092701
1001.53	9.41536	0.000877206
1006.27	9.94431	0.00083623
1011.01	10.5837	0.00080298
1015.76	11.1623	0.000776493
1020.5	11.6873	0.00075603
1025.24	12.1797	0.000741099
1029.98	12.4618	0.000731457
1034.73	12.5056	0.000727121
1039.47	12.4771	0.00072839
1044.21	11.8805	0.0007359
1048.95	11.4956	0.000750709
1053.7	10.5012	0.000774455
1058.44	9.40012	0.00080958
1063.18	8.45889	0.000859701
1067.93	6.87552	0.000930139
1072.67	3.94784	0.00102865
1077.41	2.81565	0.00116624
1082.15	0.512912	0.00135718
1086.9	-1.7815	0.00161554
1091.64	-3.18412	0.00194087
1096.38	-4.64923	0.00228406
1101.13	-6.3437	0.00251634
1105.87	-6.67388	0.00249817
1110.61	-6.64746	0.00223841
1115.35	-6.15956	0.00188252
1120.1	-5.12563	0.00155225
1124.84	-4.2838	0.00129018
1129.58	-3.42373	0.00109422
1134.32	-2.7018	0.000949827
1139.07	-2.17447	0.000842898
1143.81	-1.76199	0.000762676
1148.55	-1.44232	0.000701556
1153.3	-1.23275	0.000654279
1158.04	-1.03888	0.000617207
1162.78	-0.904761	0.000587801
1167.52	-0.78199	0.000564266
1172.27	-0.680005	0.00054531
1177.01	-0.599978	0.000529995
1181.75	-0.525936	0.000517626
1186.5	-0.458277	0.000507682
1191.24	-0.40458	0.000499767
1195.98	-0.343356	0.000493577
