eV	e1	e2
6	-7.87010002	6.57690001
5.98	-7.91520023	6.65509987
5.96	-7.96400023	6.73559999
5.94	-8.01599979	6.81860018
5.92	-8.07089996	6.90420008
5.9	-8.12829971	6.99259996
5.88	-8.18799973	7.08400011
5.86	-8.24969959	7.1782999
5.84	-8.3132	7.27580023
5.82	-8.37849998	7.37629986
5.8	-8.4454025	7.48010369
5.78	-8.5138998	7.58720016
5.76	-8.58400197	7.69770374
5.74	-8.65579987	7.81190014
5.72	-8.72920036	7.9302001
5.7	-8.80449721	8.05289638
5.68	-8.88150024	8.1807003
5.66	-8.96020031	8.31429958
5.64	-9.0401001	8.45460033
5.62	-9.12080002	8.60270023
5.6	-9.20119953	8.75969982
5.58	-9.27970028	8.92660046
5.56	-9.35459995	9.10400009
5.54	-9.42319965	9.29230022
5.52	-9.48289967	9.49090004
5.5	-9.53079987	9.69869995
5.48	-9.56389999	9.91349983
5.46	-9.5802002	10.132
5.44	-9.57789932	10.3500066
5.42	-9.55679877	10.5630056
5.4	-9.51789891	10.7660052
5.38	-9.46350002	10.9549999
5.36	-9.39729977	11.1239996
5.34	-9.32400036	11.2729998
5.32	-9.24909777	11.3980026
5.3	-9.1782999	11.4989996
5.28	-9.11690044	11.5780001
5.26	-9.06999892	11.6380007
5.24	-9.04140073	11.6809986
5.22	-9.03419971	11.7110004
5.2	-9.05020046	11.7340002
5.18	-9.09029961	11.7530003
5.16	-9.15439987	11.7709999
5.14	-9.24209976	11.7930002
5.12	-9.35229969	11.8210001
5.1	-9.48400021	11.8579998
5.08	-9.63580036	11.9049997
5.06	-9.8065953	11.9649986
5.04	-9.99549961	12.0380001
5.02	-10.2019997	12.1260004
5	-10.4239998	12.2290001
4.98	-10.6630063	12.3490033
4.96	-10.9180002	12.4870005
4.94	-11.1890001	12.6440001
4.92	-11.4750004	12.8219995
4.9	-11.7770004	13.0209999
4.88	-12.0939999	13.2449999
4.86	-12.4260077	13.4950063
4.84	-12.7729998	13.7720003
4.82	-13.1339998	14.0799999
4.8	-13.5100002	14.4209995
4.78	-13.9000086	14.7980096
4.76	-14.3030005	15.2130003
4.74	-14.7179912	15.6699899
4.72	-15.1450005	16.1739998
4.7	-15.5819902	16.7269872
4.68	-16.0300007	17.3349991
4.66	-16.4849908	18.0029859
4.64	-16.948	18.7380009
4.62	-17.4160004	19.5489998
4.6	-17.883991	20.4459804
4.58	-18.3490009	21.4400005
4.56	-18.7989998	22.5489998
4.54	-19.2210007	23.7870007
4.52	-19.5919991	25.1720009
4.5	-19.8829994	26.7180004
4.48	-20.052	28.4360008
4.46	-20.0510006	30.3220005
4.44	-19.8250008	32.3610001
4.42	-19.3169994	34.5159988
4.4	-18.4789773	36.7300412
4.38	-17.2789698	38.9270374
4.36	-15.7089996	41.0169983
4.34	-13.7930002	42.9119987
4.32	-11.5749998	44.5349998
4.3	-9.11935254	45.8230183
4.28	-6.49855158	46.7290089
4.26	-3.80065243	47.2179996
4.24	-1.12814756	47.2820004
4.22	1.41419995	46.9480019
4.2	3.7381594	46.2770121
4.18	5.78536453	45.3550155
4.16	7.53079987	44.2709999
4.14	8.97859955	43.1119995
4.12	10.1560001	41.9480019
4.1	11.1019845	40.8300204
4.08	11.8639878	39.7920169
4.06	12.4860001	38.848999
4.04	13.007	38.0060005
4.02	13.4589996	37.2560005
4	13.8649998	36.5900002
3.98	14.2419996	35.9970016
3.96	14.6000057	35.4649928
3.94	14.9460001	34.9850006
3.92	15.2850049	34.5489938
3.9	15.6190004	34.1520004
3.88	15.9510002	33.7890015
3.86	16.2810001	33.4570007
3.84	16.6130009	33.1539993
3.82	16.9459991	32.8769989
3.8	17.2830009	32.625
3.78	17.625	32.3959999
3.76	17.9720001	32.1889992
3.74	18.3260002	32.0040016
3.72	18.6870003	31.8409996
3.7	19.0559998	31.7010002
3.68	19.4319992	31.5860004
3.66	19.8180008	31.5030003
3.64	20.2150055	31.4549999
3.62	20.6299938	31.4519997
3.6	21.069994	31.5059998
3.58	21.5510006	31.6270008
3.56	22.0929936	31.8289979
3.54	22.7299995	32.125
3.52	23.5090008	32.5180016
3.5	24.4890003	33.0029984
3.48	25.7480184	33.5510052
3.46	27.3710003	34.1020012
3.44	29.4570007	34.5499992
3.42	32.0979996	34.7070007
3.4	35.3180008	34.257
3.38	38.9220393	32.7789678
3.36	42.3559606	29.9550315
3.34	44.8499985	25.9179993
3.32	45.8739894	21.3350491
3.3	45.4830059	17.0250461
3.28	44.1689987	13.4809999
3.26	42.4519997	10.7670002
3.24	40.6520004	8.73089981
3.22	38.9109993	7.19990015
3.2	37.2869987	6.04400015
3.18	35.8040009	5.16739988
3.16	34.4679985	4.49469995
3.14	33.271989	3.96679585
3.12	32.20201	3.53890403
3.1	31.2390095	3.17940339
3.08	30.3649998	2.86800003
3.06	29.5629997	2.59190011
3.04	28.8200065	2.34420216
3.02	28.1270008	2.12080002
3	27.4750004	1.91929996
2.98	26.8600006	1.73829997
2.96	26.2770004	1.57640004
2.94	25.7250004	1.4325
2.92	25.2000008	1.30509996
2.9	24.7019919	1.19309836
2.88	24.2289928	1.09489862
2.86	23.7789993	1.00929999
2.84	23.3519993	0.934840024
2.82	22.9459991	0.870199978
2.8	22.5599995	0.814140022
2.78	22.1940002	0.765500009
2.76	21.8449993	0.723200023
2.74	21.5139999	0.686290026
2.72	21.1979956	0.653919581
2.7	20.8979966	0.625329609
2.68	20.6110001	0.599870026
2.66	20.3379957	0.576989721
2.64	20.0769997	0.556209981
2.62	19.8270031	0.537160239
2.6	19.5879993	0.519500017
2.58	19.3589993	0.502960026
2.56	19.1399994	0.487349987
2.54	18.9290009	0.472479999
2.52	18.7259998	0.458220005
2.5	18.5310001	0.444469988
2.48	18.3419991	0.431149989
2.46	18.1609993	0.418190002
2.44	17.9860001	0.405539989
2.42	17.816	0.393169999
2.4	17.6529999	0.381060004
2.38	17.4939995	0.369179994
2.36	17.3400002	0.357520014
2.34	17.1919994	0.346060008
2.32	17.0470009	0.334820002
2.3	16.9070011	0.323760119
2.28	16.7709999	0.312900007
2.26	16.6389999	0.302240014
2.24	16.5109997	0.291759998
2.22	16.3859997	0.281470001
2.2	16.2639988	0.271359916
2.18	16.1459999	0.261440009
2.16	16.0310001	0.251709998
2.14	15.9179992	0.242159924
2.12	15.809001	0.23280009
2.1	15.7020006	0.223630077
2.08	15.5979996	0.214640006
2.06	15.4969997	0.205829993
2.04	15.3980006	0.19721007
2.02	15.3009996	0.188779995
2	15.2069998	0.180529997
1.98	15.1139996	0.172469943
1.96	15.0239995	0.164589944
1.94	14.9359999	0.156900004
1.92	14.8500004	0.149389997
1.9	14.7659998	0.142069995
1.88	14.684	0.13493
1.86	14.6029997	0.127979994
1.84	14.5240002	0.12122
1.82	14.4469991	0.114639956
1.8	14.3720002	0.108240042
1.78	14.2980008	0.102030041
1.76	14.2259998	0.0960090011
1.74	14.1549993	0.0901709685
1.72	14.0860004	0.0845170021
1.7	14.0179996	0.0790489987
1.68	13.952	0.0737670286
1.66	13.8870004	0.0686690268
1.64	13.8240004	0.0637570024
1.62	13.7609997	0.0590309985
1.6	13.6999998	0.05449
1.58	13.6409998	0.0501339994
1.56	13.5820001	0.0459630207
1.54	13.5249996	0.0419780016
1.52	13.4690001	0.0381780181
1.5	13.4139996	0.0345639996
1.48	13.3599997	0.0311350003
1.46	13.3070002	0.0278910007
1.44	13.2549997	0.0248329762
1.42	13.2049999	0.0219599996
1.4	13.1549997	0.0192719996
1.38	13.1059999	0.0167699996
1.36	13.0589997	0.0144529851
1.34	13.0129995	0.012321
1.32	12.967	0.0103749996
1.3	12.9230003	0.00861319993
1.28	12.8789997	0.00703610014
1.26	12.8369999	0.00564249977
1.24	12.7950001	0.00443009986
1.22	12.7539997	0.00339520001
1.2	12.7150002	0.00253159995
1.18	12.6759996	0.00183019997
1.16	12.6389999	0.00127819995
1.14	12.6020002	0.000859069987
1.12	12.566	0.000553600024
1.1	12.5319994	0.000340799345
1.08	12.4980001	0.000199720002
1.06	12.4650003	0.000111050401
1.04	12.4329996	5.84109985e-005
1.02	12.4020006	2.89801221e-005
1	12.3710003	1.35290002e-005
0.98	12.3419999	5.92838684e-006
0.96	12.3129997	2.43380009e-006
0.94	12.2849998	0
0.92	12.2580004	0
0.86	12.1809998	0
0.84	12.1569997	0
0.82	12.1339998	0
0.8	12.1110001	0
0.78	12.0889998	0
0.76	12.0670004	0
0.74	12.0459995	0
0.72	12.0259999	0
0.7	12.007	0
